series,model,order,seasonal_order,aic,bic,test_rmse,test_mae,test_mape
Sales,SARIMA,"(1, 1, 0)","(1, 0, 0, 11)",153.82998061302743,158.13194222648286,4.287250261152376,3.8380296216489427,8.083386790722386
Sales,SARIMA,"(0, 1, 0)","(1, 0, 0, 11)",159.22802023684363,162.15949204244308,4.455451097152313,4.07847681007837,8.252680182683177
Sales,SARIMA,"(1, 1, 2)","(1, 0, 0, 11)",156.1278475667025,163.29778358912824,4.404837034202487,3.949772401277241,8.391047363187552
Sales,SARIMA,"(1, 1, 1)","(1, 0, 0, 11)",153.72627826583738,159.46222708377798,4.558545336758848,4.134137557077273,8.709878796154696
Sales,SARIMA,"(0, 1, 2)","(1, 0, 0, 11)",159.08476365206542,164.94770726326433,4.66280568129512,4.172723805096876,9.074803473670471
Sales,SARIMA,"(2, 1, 0)","(1, 0, 0, 11)",149.01863756291593,154.62342708956456,4.702367208254818,4.239338281250158,9.121776021244212
Sales,SARIMA,"(2, 1, 1)","(1, 0, 0, 11)",150.7919676350589,157.79795454336968,4.736467474139951,4.293740023634103,9.162143770834176
Sales,SARIMA,"(0, 0, 0)","(1, 1, 1, 11)",175.56273842126458,178.69630573443484,10.70375761734197,10.036778594637722,13.44948045536184
Sales,SARIMA,"(0, 0, 0)","(1, 1, 0, 11)",180.63020136583083,182.81228627254745,10.882155440416998,10.205310379371419,13.642762809153869
Sales,SARIMA,"(2, 0, 1)","(1, 0, 0, 11)",144.85535416905995,152.02529019148568,13.240593110427898,11.798584020203831,14.190623708468284
Sales,SARIMA,"(0, 0, 1)","(1, 1, 0, 11)",157.05697411118885,160.3301014712638,10.88094646609788,10.358137922881742,14.76048702746974
Sales,SARIMA,"(0, 0, 2)","(1, 1, 0, 11)",142.94707721820026,147.3112470316335,11.203935007863148,10.672633517327837,15.240382892405338
Sales,SARIMA,"(0, 0, 1)","(1, 1, 1, 11)",138.8124833281139,142.79541242232986,13.297909964700183,12.410853157900949,15.947497394590435
