series,period,forecast,lower_95,upper_95
Sales,2024-02,29.311814577451557,24.208102517280786,34.41552663762233
Sales,2024-03,46.27058978268704,39.08289800927178,53.4582815561023
Sales,2024-04,62.05545562260009,53.26466787256986,70.84624337263033
Sales,2024-05,78.53024485677831,68.38662688770187,88.67386282585475
Sales,2024-06,98.71046576432262,87.3743278973491,110.04660363129614
Sales,2024-07,115.90880267718637,103.49417187415725,128.3234334802155
Sales,2024-08,134.36139615794804,120.95475249847905,147.76803981741702
Sales,2024-09,157.67090889822862,143.34076129087757,172.00105650557967
Sales,2024-10,170.27239938146965,155.07476250316094,185.47003625977837
Sales,2024-11,189.602091679458,173.5838769561682,205.6203064027478
Sales,2024-12,212.9840993495921,196.18534227777639,229.7828564214078
Retail,2024-02,6.114316321983839,1.190387787977775,11.038244855989904
Retail,2024-03,5.3324893302829794,-1.7156050547388304,12.38058371530479
Retail,2024-04,4.691996826390303,-3.160573788138154,12.544567440918762
Retail,2024-05,4.106096399600961,-3.9027215304013207,12.114914329603243
Retail,2024-06,5.580789518246285,-2.234083180825845,13.395662217318415
Retail,2024-07,6.282102677958277,-1.5327700210772504,14.096975376993804
Retail,2024-08,7.075669937890072,-0.7392027611355747,14.890542636915718
Retail,2024-09,7.749282675448123,-0.06559002357667865,15.564155374472925
Retail,2024-10,8.95994808851019,1.1450753894851928,16.774820787535187
Retail,2024-11,9.89916600015691,2.084293301127981,17.71403869918584
Retail,2024-12,12.067901645026835,4.253028945969072,19.882774344084595
